CustomerID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Segment,Churned,Churn_Prob
12346.0,326,1,77183.6,1,1,5,7,Hibernating,1,0.9854834683718771
12347.0,2,182,4310.0,5,5,5,15,Champions,0,0.0
12348.0,75,31,1797.24,2,3,4,9,At Risk,0,0.11769047694237951
12349.0,19,73,1757.55,4,4,4,12,Champions,0,0.0008741148907765419
12350.0,310,17,334.4,1,2,2,5,Lost,1,0.9987955648527732
12352.0,36,85,2506.04,3,4,5,12,Loyal Customers,0,0.0008741148907765419
12353.0,204,4,89.0,1,1,1,3,Lost,1,0.997839878309453
12354.0,232,58,1079.4,1,3,4,8,Lost,1,0.9966764841968394
12355.0,214,13,459.4,1,1,2,4,Lost,1,0.9985576136585764
12356.0,23,59,2811.43,4,4,5,13,Champions,0,0.0008741148907765419
12357.0,33,131,6207.67,4,5,5,14,Champions,0,0.0
12358.0,2,19,1168.06,5,2,4,11,New Customers,0,0.0
12359.0,58,248,6372.58,3,5,5,13,Loyal Customers,0,0.00012455147667678727
12360.0,52,129,2662.06,3,5,5,13,Loyal Customers,0,0.0008741148907765419
12361.0,287,10,189.9,1,1,1,3,Lost,1,0.9979002959180195
12362.0,3,266,5226.23,5,5,5,15,Champions,0,0.00012455147667678727
12363.0,110,23,552.0,2,2,3,7,At Risk,1,0.9749069803120715
12364.0,8,85,1313.1,5,4,4,13,Champions,0,0.0
12365.0,291,22,641.38,1,2,3,6,Hibernating,1,0.9966616927898626
12367.0,4,11,168.9,5,1,1,7,New Customers,0,0.0
12370.0,51,167,3545.69,3,5,5,13,Loyal Customers,0,0.0008741148907765419
12371.0,45,63,1887.96,3,4,4,11,Loyal Customers,0,0.0032046156123851565
12372.0,72,52,1298.04,3,3,4,10,Loyal Customers,0,0.00018117336099168587
12373.0,311,14,364.6,1,1,2,4,Lost,1,0.9987018606914587
12374.0,25,33,742.9300000000001,4,3,3,10,Loyal Customers,0,0.0
12375.0,11,17,457.5,5,2,2,9,New Customers,0,0.0
12377.0,315,77,1628.12,1,4,4,9,Lost,1,0.9933896918713531
12378.0,130,219,4008.62,2,5,5,12,At Risk,1,0.9670237819420195
12379.0,82,40,852.24,2,3,3,8,At Risk,0,0.10082135823757982
12380.0,22,104,2724.81,4,4,5,13,Champions,0,0.0008741148907765419
12381.0,5,87,1845.31,5,4,4,13,Champions,0,0.0008741148907765419
12383.0,185,99,1850.56,1,4,4,9,Lost,1,0.9900910911649266
12384.0,29,27,585.27,4,2,3,9,New Customers,0,0.003932551681297907
12386.0,338,10,401.9,1,1,2,4,Lost,1,0.9977242351987995
12388.0,16,100,2780.66,4,4,5,13,Champions,0,0.0008741148907765419
12390.0,80,32,549.84,2,3,3,8,At Risk,0,0.0996378112195042
12391.0,22,100,460.89,4,4,2,10,Loyal Customers,0,0.0018706817134960848
12393.0,72,64,1582.6000000000001,3,4,4,11,Loyal Customers,0,0.002330500721608615
12394.0,64,27,1272.48,3,2,4,9,Potential Loyalist,0,0.011050562509894574
12395.0,19,156,3018.63,4,5,5,14,Champions,0,0.0008741148907765419
12397.0,36,126,2409.9,3,5,5,13,Loyal Customers,0,0.0008741148907765419
12398.0,46,85,1635.6599999999999,3,4,4,11,Loyal Customers,0,0.002149327360616929
12399.0,119,59,1108.65,2,4,4,10,At Risk,1,0.9757484845934756
12401.0,303,5,84.3,1,1,1,3,Lost,1,0.997839878309453
12402.0,323,11,225.6,1,1,1,3,Lost,1,0.9979002959180195
12403.0,50,5,427.7,3,1,2,6,Promising,0,0.008561285556708991
12405.0,149,54,1710.39,2,3,4,9,At Risk,1,0.9730282507441699
12406.0,22,105,3415.3,4,4,5,13,Champions,0,0.0008741148907765419
12407.0,50,77,1708.1200000000001,3,4,4,11,Loyal Customers,0,0.002149327360616929
12408.0,33,105,2888.55,4,4,5,13,Champions,0,0.0008741148907765419
12409.0,79,109,11072.67,2,4,5,11,At Risk,0,0.08147141445375572
12410.0,309,26,693.3299999999999,1,2,3,6,Hibernating,1,0.9966616927898626
12412.0,75,61,1226.88,2,4,4,10,At Risk,0,0.09883507217461009
12413.0,67,38,758.1,3,3,3,9,Loyal Customers,0,0.0055377265227601604
12414.0,217,18,562.41,1,2,3,6,Hibernating,1,0.9959433019013995
12415.0,24,714,124914.53,4,5,5,14,Champions,0,0.0
12417.0,3,192,3649.1,5,5,5,15,Champions,0,0.0008741148907765419
12418.0,113,34,668.58,2,3,3,8,At Risk,1,0.9841091211337418
12420.0,64,29,600.39,3,2,3,8,Potential Loyalist,0,0.01157449888272152
12421.0,16,45,807.04,4,3,3,10,Loyal Customers,0,0.0016051748414622528
12422.0,96,39,803.5600000000001,2,3,3,8,At Risk,1,0.9758213582375798
12423.0,1,125,1859.31,5,5,4,14,Champions,0,0.0008741148907765419
12424.0,163,30,1760.96,2,3,4,9,At Risk,1,0.9723218593980875
12425.0,78,36,777.2,2,3,3,8,At Risk,0,0.09522575120054702
12426.0,195,30,582.73,1,3,3,7,Lost,1,0.9915399775410428
12427.0,22,31,825.8,4,3,3,10,Loyal Customers,0,0.0
12428.0,26,294,7956.46,4,5,5,14,Champions,0,0.00012455147667678727
12429.0,9,97,3750.4,5,4,5,14,Champions,0,0.0
12430.0,43,11,256.4,3,1,2,6,Promising,0,0.004489996127092778
12431.0,36,235,6487.45,3,5,5,13,Loyal Customers,0,0.00012455147667678727
12432.0,43,108,5059.32,3,4,5,12,Loyal Customers,0,0.001107928388746803
12433.0,1,420,13375.87,5,5,5,15,Champions,0,0.0
12434.0,85,50,806.14,2,3,3,8,At Risk,0,0.08247160094230263
12435.0,80,36,7829.89,2,3,5,10,At Risk,0,0.06855002970454231
12436.0,100,16,509.01,2,2,3,7,At Risk,1,0.9757341396955647
12437.0,2,199,4951.41,5,5,5,15,Champions,0,0.00012455147667678727
12438.0,14,98,2906.85,4,4,5,13,Champions,0,0.0008741148907765419
12441.0,367,11,173.55,1,1,1,3,Lost,1,0.9979002959180195
12442.0,3,12,172.06,5,1,1,7,New Customers,0,0.0
12444.0,21,176,5005.46,4,5,5,14,Champions,0,0.0
12445.0,22,4,133.4,4,1,1,6,New Customers,0,0.005314524461925851
12446.0,58,57,1002.3100000000001,3,3,4,10,Loyal Customers,0,0.0016051748414622528
12447.0,243,26,476.49,1,2,2,5,Lost,1,0.9991206167169188
12448.0,44,22,449.45,3,2,2,7,Potential Loyalist,0,0.0
12449.0,22,191,4067.29,4,5,5,14,Champions,0,0.00012455147667678727
12450.0,156,8,197.88,2,1,1,4,Lost,1,0.9835692074890572
12451.0,11,354,9035.52,5,5,5,15,Champions,0,0.0
12452.0,17,22,430.57,4,2,2,8,New Customers,0,0.0
12453.0,134,43,707.09,2,3,3,8,At Risk,1,0.9791272547370161
12454.0,56,15,3528.34,3,2,5,10,Potential Loyalist,0,0.0
12455.0,73,90,2466.86,2,4,5,11,At Risk,0,0.11178606091839047
12456.0,44,125,3181.04,3,5,5,13,Loyal Customers,0,0.0008741148907765419
12457.0,66,62,2363.23,3,4,5,12,Loyal Customers,0,0.0008741148907765419
12458.0,71,38,947.4,3,3,4,10,Loyal Customers,0,0.002158912442443948
12461.0,94,35,826.88,2,3,3,8,At Risk,1,0.9796615104801027
12462.0,19,62,1189.59,4,4,4,12,Champions,0,0.0
12463.0,53,83,1344.78,3,4,4,11,Loyal Customers,0,0.002149327360616929
12464.0,10,29,1212.05,5,2,4,11,New Customers,0,0.0
12465.0,17,47,742.1899999999999,4,3,3,10,Loyal Customers,0,0.0016051748414622528
12468.0,188,38,729.5400000000001,1,3,3,7,Lost,1,0.9960103816114786
12471.0,2,460,19824.05,5,5,5,15,Champions,0,0.0
